time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-31T00:28:44.190Z,8.2083,58.6662,10,5.2,mb,,70,13.186,0.91,us,us2000izc2,2019-01-04T05:34:16.040Z,"Carlsberg Ridge",earthquake,3.5,1.9,0.051,127,reviewed,us,us
2018-12-30T18:34:57.470Z,1.6162,126.4538,44.3,5,mww,,101,1.239,1.19,us,us2000iz9s,2018-12-30T18:52:55.040Z,"137km NW of Kota Ternate, Indonesia",earthquake,7.7,6.2,0.068,21,reviewed,us,us
2018-12-30T08:39:12.700Z,-2.657,102.3488,168.3,5.8,mww,,30,1.797,1.36,us,us2000iz50,2018-12-31T08:41:27.624Z,"91km NW of Lubuklinggau, Indonesia",earthquake,6.8,5.6,0.069,20,reviewed,us,us
2018-12-30T06:00:09.630Z,8.2229,58.6182,10,5,mb,,117,16.789,0.75,us,us2000iz43,2018-12-30T06:26:37.040Z,"Carlsberg Ridge",earthquake,11.9,1.9,0.065,76,reviewed,us,us
2018-12-29T19:08:30.250Z,42.2718,143.2251,58.28,5.5,mb,,49,0.261,0.93,us,us2000iyzj,2019-01-03T11:32:26.869Z,"71km S of Obihiro, Japan",earthquake,7.2,6.1,0.031,366,reviewed,us,us
2018-12-29T15:34:36.480Z,-5.6117,151.7009,45.62,5.2,mww,,129,19.581,1.22,us,us2000iyy3,2018-12-29T15:52:58.040Z,"152km SSW of Kokopo, Papua New Guinea",earthquake,10.8,6.8,0.071,19,reviewed,us,us
2018-12-29T09:13:02.440Z,5.781,126.8976,67.61,5.3,mww,,44,1.831,0.8,us,us2000iyvy,2018-12-29T09:48:06.905Z,"102km SE of Pondaguitan, Philippines",earthquake,7.8,6,0.073,18,reviewed,us,us
2018-12-29T08:15:26.160Z,1.0465,97.3153,23.38,5.1,mb,,102,0.364,0.82,us,us2000iyvg,2018-12-29T08:31:57.040Z,"180km WSW of Sibolga, Indonesia",earthquake,8,5.7,0.072,63,reviewed,us,us
2018-12-29T03:39:09.390Z,5.9735,126.8283,60.06,7,mww,,21,1.651,1.32,us,us2000iyta,2018-12-31T12:44:31.676Z,"83km ESE of Pondaguitan, Philippines",earthquake,7.2,3.2,0.038,67,reviewed,us,us
2018-12-28T13:03:33.090Z,44.1998,148.5833,49.35,5.5,mb,,129,4.311,0.92,us,us2000iym6,2018-12-28T17:38:59.040Z,"127km SSE of Kuril'sk, Russia",earthquake,8.3,6.2,0.03,397,reviewed,us,us
2018-12-28T03:03:33.420Z,-1.4184,134.0618,41,5.7,mww,,23,2.346,1.09,us,us2000iyhj,2018-12-29T03:05:37.696Z,"61km S of Manokwari, Indonesia",earthquake,7.7,1.9,0.073,18,reviewed,us,us
2018-12-27T16:24:45.820Z,-56.7004,-24.9448,10,5.1,mb,,65,6.991,0.9,us,us2000iy4d,2018-12-28T15:52:54.040Z,"138km E of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,8.5,1.7,0.088,44,reviewed,us,us
2018-12-27T12:26:21.980Z,-56.599,-24.8179,10,5.1,mb,,114,7.032,0.9,us,us2000iy2r,2018-12-27T12:46:15.040Z,"146km E of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,13.4,1.9,0.112,26,reviewed,us,us
2018-12-27T11:25:35.020Z,-56.7202,-24.8737,10,5.1,mb,,98,7.034,0.73,us,us2000iy2a,2018-12-27T11:47:24.040Z,"142km E of Visokoi Island, South Georgia and the South Sandwich Islands",earthquake,4.4,1.8,0.112,26,reviewed,us,us
2018-12-27T09:24:20.740Z,10.2681,-67.9506,10,5,mb,,43,1.319,0.76,us,us2000iy16,2018-12-30T04:46:47.895Z,"0km NNE of San Diego, Venezuela",earthquake,7.2,1.9,0.042,181,reviewed,us,us
2018-12-27T08:59:11.670Z,10.2805,-67.9036,10,5.5,mww,,58,1.335,0.66,us,us2000iy0q,2019-01-05T05:59:22.684Z,"5km ENE of San Diego, Venezuela",earthquake,5.6,1.8,0.073,18,reviewed,us,us
2018-12-27T05:39:12.390Z,-10.0761,161.1446,71.17,5.4,mww,,55,1.339,0.64,us,us2000ixys,2018-12-28T05:41:30.391Z,"94km WNW of Kirakira, Solomon Islands",earthquake,8.6,6.3,0.066,22,reviewed,us,us
2018-12-27T00:35:50.440Z,23.403,94.5585,91.85,5,mb,,85,0.856,0.71,us,us2000ixwx,2018-12-27T00:52:12.040Z,"29km SSE of Mawlaik, Burma",earthquake,5.7,6,0.083,46,reviewed,us,us
2018-12-26T23:36:19.360Z,-23.1907,-174.7837,10,5,mb,,89,6.107,0.73,us,us2000ixw6,2018-12-27T00:03:25.040Z,"206km S of `Ohonua, Tonga",earthquake,6.2,1.9,0.111,26,reviewed,us,us
2018-12-26T22:15:11.520Z,-14.8684,167.2875,151.91,5,mb,,151,7.209,0.59,us,us2000ixur,2018-12-26T22:33:25.040Z,"32km NE of Port-Olry, Vanuatu",earthquake,12.4,9.7,0.109,27,reviewed,us,us
